fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,98.1%,0.981000,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.10,101.101000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,97.8%,0.977600,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,113.76,113.757000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,96.7%,0.966500,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,104.65,104.649000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,96.0%,0.959500,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.95,111.950000,,Betano no expuesto,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,CORNERS_AWAY:UNDER_5_5,93.9%,0.939200,1.06,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,109.92,109.916000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,CARDS_HOME:UNDER_2_5,92.0%,0.919700,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.97,94.970000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,91.6%,0.916100,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,99.61,99.608000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,CORNERS_TOTALS:UNDER_11_5,90.5%,0.905300,1.10,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,120.53,120.527000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,88.2%,0.881700,1.13,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,91.17,91.169000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,86.5%,0.864700,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,89.47,89.466000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,
